MemberID,Name,Gender,Age,City,Height_cm,Weight_Start_kg,Weight_Current_kg,BMI_Start,BMI_Current,MembershipType,MonthlyFee,Goal,WorkoutType,Trainer,SessionsPerWeek,MonthsActive,WeightLoss_kg,SatisfactionScore,Churned,JoinDate
GYM1053,Bharathi,Female,37,Pune,188.8,71.9,67.7,20.2,19.0,Elite,5999,Flexibility,Yoga,Trainer A,1,31,4.2,9,1,2022-12-25
GYM1054,Vikram,Male,41,Chennai,173.2,74.2,72.3,24.7,24.1,Basic,999,Weight Loss,Strength,Trainer B,5,2,1.9,3,0,2023-04-30
GYM1055,Rajesh,Male,24,Delhi,166.1,72.2,70.8,26.2,25.7,Standard,1999,Endurance,Yoga,Trainer B,2,8,1.4,5,1,2022-01-27
GYM1056,Lakshmi,Female,55,Mumbai,143.1,73.2,73.2,35.7,35.7,Elite,5999,Endurance,Cardio,No Trainer,1,16,0.0,5,0,2023-09-07
GYM1057,Praveen,Male,27,Pune,176.7,78.8,78.4,25.2,25.1,Basic,999,Flexibility,Swimming,Trainer C,5,5,0.4,6,1,2023-03-07
GYM1058,Divya,Female,24,Kolkata,163.4,56.2,51.4,21.0,19.3,Elite,5999,Flexibility,Swimming,Trainer B,2,28,4.8,9,0,2022-10-04
GYM1059,Deepa,Female,32,Delhi,152.8,90.7,88.3,38.8,37.8,Elite,5999,General Fitness,Yoga,Trainer B,3,6,2.4,8,0,2023-04-21
GYM1060,Anita,Female,18,Hyderabad,159.5,57.1,52.5,22.4,20.6,Basic,999,Endurance,Strength,Trainer D,3,14,4.6,5,0,2023-09-03
GYM1061,Nisha,Female,24,Mumbai,157.1,71.1,61.2,28.8,24.8,Basic,999,General Fitness,Cardio,Trainer B,4,27,9.9,9,0,2023-12-09
GYM1062,Rekha,Female,19,Chennai,155.3,59.3,55.5,24.6,23.0,Elite,5999,Endurance,Cardio,Trainer C,4,15,3.8,4,0,2023-08-19
GYM1063,Deepa,Female,49,Hyderabad,161.2,49.9,44.2,19.2,17.0,Premium,3499,Endurance,Yoga,Trainer D,3,18,5.7,5,0,2024-01-09
GYM1064,Arjun,Male,53,Bangalore,176.3,59.8,53.1,19.2,17.1,Basic,999,General Fitness,Strength,Trainer B,3,31,6.7,10,0,2023-06-22
GYM1065,Divya,Female,44,Mumbai,152.3,70.3,67.5,30.3,29.1,Standard,1999,Flexibility,Yoga,Trainer B,1,20,2.8,9,0,2022-02-16
GYM1066,Sanjay,Male,22,Kolkata,167.5,39.1,34.6,13.9,12.3,Premium,3499,Muscle Gain,Cardio,Trainer A,4,19,4.5,8,0,2022-07-08
GYM1067,Suresh,Male,29,Coimbatore,158.0,97.6,97.6,39.1,39.1,Elite,5999,Weight Loss,CrossFit,Trainer D,5,5,0.0,1,0,2024-04-10
GYM1068,Divya,Female,27,Pune,159.0,82.3,78.5,32.6,31.1,Standard,1999,Weight Loss,Zumba,No Trainer,5,15,3.8,7,0,2023-03-30
GYM1069,Keerthana,Female,43,Chennai,158.1,53.2,45.8,21.3,18.3,Elite,5999,Flexibility,Zumba,Trainer A,6,14,7.4,4,0,2022-03-25
GYM1070,Vijay,Male,33,Coimbatore,163.2,78.8,70.7,29.6,26.5,Standard,1999,General Fitness,Strength,Trainer A,4,27,8.1,10,0,2022-02-03
GYM1071,Suresh,Male,33,Coimbatore,173.3,97.0,90.7,32.3,30.2,Premium,3499,Endurance,Swimming,Trainer B,6,17,6.3,10,0,2022-07-22
GYM1072,Divya,Female,53,Delhi,142.4,63.2,61.7,31.2,30.4,Standard,1999,Muscle Gain,Strength,Trainer A,2,4,1.5,5,0,2024-04-24
GYM1073,Deepa,Female,34,Delhi,153.0,62.5,56.0,26.7,23.9,Basic,999,Endurance,Swimming,Trainer D,5,18,6.5,9,0,2022-03-24
GYM1074,Manoj,Male,26,Delhi,174.8,82.3,76.1,26.9,24.9,Elite,5999,Flexibility,Cardio,Trainer A,6,15,6.2,10,0,2022-01-22
GYM1075,Lakshmi,Female,40,Kolkata,160.5,74.8,71.0,29.0,27.6,Basic,999,Muscle Gain,Zumba,Trainer D,2,18,3.8,10,0,2024-04-13
GYM1076,Divya,Female,23,Pune,153.5,74.0,72.0,31.4,30.6,Elite,5999,Flexibility,Yoga,Trainer C,2,7,2.0,6,0,2023-05-23
GYM1077,Rekha,Female,31,Chennai,158.9,80.3,76.1,31.8,30.1,Elite,5999,General Fitness,CrossFit,Trainer A,3,21,4.2,6,0,2024-03-02
GYM1078,Keerthana,Female,37,Kolkata,156.4,62.4,55.6,25.5,22.7,Basic,999,General Fitness,CrossFit,Trainer A,5,13,6.8,6,0,2023-05-26
GYM1079,Bharathi,Female,40,Delhi,164.5,80.7,74.6,29.8,27.6,Basic,999,Muscle Gain,Zumba,Trainer B,4,19,6.1,8,0,2023-10-08
GYM1080,Dinesh,Male,38,Chennai,165.5,81.9,81.1,29.9,29.6,Standard,1999,Flexibility,Zumba,Trainer D,2,6,0.8,2,0,2022-05-01
GYM1081,Mohan,Male,32,Delhi,172.8,68.2,60.1,22.8,20.1,Premium,3499,General Fitness,CrossFit,Trainer D,2,31,8.1,8,0,2023-01-28
GYM1082,Manoj,Male,21,Delhi,158.3,91.9,82.8,36.7,33.0,Standard,1999,Weight Loss,CrossFit,Trainer C,3,33,9.1,1,0,2022-11-02
GYM1083,Keerthana,Female,38,Kolkata,163.0,64.9,51.8,24.4,19.5,Standard,1999,Endurance,Yoga,Trainer C,5,36,13.1,7,0,2022-11-26
GYM1084,Dinesh,Male,32,Pune,162.6,89.7,89.2,33.9,33.7,Standard,1999,General Fitness,Strength,Trainer D,3,3,0.5,8,0,2024-04-10
GYM1085,Pooja,Female,23,Chennai,155.4,70.0,69.1,29.0,28.6,Standard,1999,Endurance,Strength,No Trainer,1,22,0.9,8,1,2023-04-13
GYM1086,Dinesh,Male,23,Bangalore,169.9,80.9,77.6,28.0,26.9,Standard,1999,Endurance,Cardio,Trainer D,3,17,3.3,10,0,2023-10-28
GYM1087,Harish,Male,27,Pune,169.9,60.6,59.9,21.0,20.8,Premium,3499,General Fitness,Yoga,Trainer D,1,35,0.7,10,1,2023-10-09
GYM1088,Kavya,Female,24,Coimbatore,156.3,68.7,61.8,28.1,25.3,Basic,999,Endurance,Swimming,Trainer A,2,29,6.9,5,0,2022-02-17
GYM1089,Bharathi,Female,40,Hyderabad,156.7,64.8,64.7,26.4,26.3,Basic,999,Flexibility,Yoga,Trainer D,2,10,0.1,9,0,2023-11-30
GYM1090,Ramesh,Male,31,Pune,165.7,81.9,70.3,29.8,25.6,Standard,1999,Weight Loss,Zumba,Trainer B,5,32,11.6,3,0,2023-10-16
GYM1091,Deepa,Female,37,Kolkata,170.3,63.7,62.2,22.0,21.4,Premium,3499,Weight Loss,Yoga,No Trainer,1,11,1.5,8,0,2023-08-25
GYM1092,Rekha,Female,38,Kolkata,154.8,67.7,59.7,28.3,24.9,Elite,5999,Flexibility,Yoga,Trainer B,4,25,8.0,2,0,2023-08-09
GYM1093,Lakshmi,Female,32,Chennai,151.8,65.3,63.1,28.3,27.4,Premium,3499,Flexibility,Swimming,Trainer D,1,18,2.2,10,0,2024-03-07
GYM1094,Manoj,Male,46,Mumbai,175.7,103.8,97.8,33.6,31.7,Elite,5999,Flexibility,Zumba,Trainer C,6,15,6.0,4,0,2023-11-26
GYM1095,Vikram,Male,40,Delhi,169.5,104.3,94.0,36.3,32.7,Basic,999,Weight Loss,CrossFit,Trainer A,6,24,10.3,3,0,2022-10-30
GYM1096,Saranya,Female,23,Mumbai,153.2,39.5,30.7,16.8,13.1,Elite,5999,Muscle Gain,Strength,No Trainer,5,24,8.8,9,0,2024-04-30
GYM1097,Suresh,Male,24,Hyderabad,169.2,82.1,78.5,28.7,27.4,Elite,5999,Flexibility,Cardio,Trainer D,2,5,3.6,4,0,2024-01-12
GYM1098,Keerthana,Female,41,Pune,153.4,54.2,50.7,23.0,21.5,Premium,3499,Weight Loss,Cardio,Trainer C,1,35,3.5,8,0,2024-02-06
GYM1099,Lakshmi,Female,18,Coimbatore,172.7,79.2,77.4,26.6,26.0,Elite,5999,Flexibility,Swimming,Trainer B,1,31,1.8,10,0,2023-07-29
GYM1100,Viji,Female,18,Kolkata,168.8,63.6,59.6,22.3,20.9,Standard,1999,Weight Loss,Swimming,Trainer C,1,27,4.0,3,1,2022-02-08
GYM1101,Deepa,Female,18,Mumbai,153.2,65.1,57.0,27.7,24.3,Basic,999,Weight Loss,Zumba,Trainer B,4,25,8.1,6,0,2024-01-31
GYM1102,Lakshmi,Female,27,Coimbatore,163.0,52.2,45.9,19.6,17.3,Standard,1999,Endurance,CrossFit,No Trainer,3,27,6.3,1,0,2022-08-11
GYM1103,Deepa,Female,33,Coimbatore,162.1,73.5,58.4,28.0,22.2,Standard,1999,Flexibility,Swimming,Trainer C,6,35,15.1,6,0,2022-10-10
GYM1104,Karthik,Male,18,Mumbai,178.2,82.0,82.0,25.8,25.8,Elite,5999,Weight Loss,Swimming,No Trainer,1,2,0.0,6,0,2022-05-09
GYM1105,Karthik,Male,47,Mumbai,168.9,92.2,88.1,32.3,30.9,Standard,1999,General Fitness,Strength,Trainer C,5,10,4.1,1,0,2022-05-29
GYM1106,Sanjay,Male,52,Coimbatore,182.0,75.0,72.8,22.6,22.0,Premium,3499,Muscle Gain,Swimming,Trainer A,1,9,2.2,6,0,2022-09-01
GYM1107,Priya,Female,38,Chennai,168.9,53.4,49.7,18.7,17.4,Standard,1999,Flexibility,Strength,Trainer D,1,34,3.7,2,0,2024-03-07
GYM1108,Nisha,Female,42,Mumbai,143.9,50.8,45.7,24.5,22.1,Basic,999,Endurance,Zumba,Trainer A,3,34,5.1,8,0,2022-02-01
GYM1109,Mohan,Male,29,Coimbatore,173.7,96.0,95.5,31.8,31.7,Elite,5999,Endurance,CrossFit,Trainer D,1,5,0.5,6,0,2022-03-09
GYM1110,Suresh,Male,48,Delhi,157.0,57.6,55.4,23.4,22.5,Premium,3499,Endurance,CrossFit,No Trainer,1,28,2.2,2,0,2023-10-29
GYM1111,Ganesh,Male,35,Pune,167.7,53.2,45.0,18.9,16.0,Elite,5999,Muscle Gain,Yoga,Trainer D,4,26,8.2,2,0,2022-11-17
GYM1112,Anita,Female,18,Coimbatore,163.4,69.4,68.9,26.0,25.8,Standard,1999,Endurance,Cardio,Trainer A,4,6,0.5,2,0,2023-01-17
GYM1113,Sanjay,Male,26,Hyderabad,159.5,77.2,69.3,30.3,27.2,Basic,999,General Fitness,Swimming,Trainer A,3,27,7.9,7,0,2024-01-09
GYM1114,Suresh,Male,22,Coimbatore,172.0,71.6,70.5,24.2,23.8,Premium,3499,Flexibility,Zumba,No Trainer,2,14,1.1,8,0,2022-04-21
GYM1115,Keerthana,Female,30,Delhi,149.7,58.4,49.0,26.1,21.9,Premium,3499,Weight Loss,Zumba,Trainer B,5,28,9.4,10,0,2023-10-21
GYM1116,Rajesh,Male,51,Bangalore,168.3,69.6,64.0,24.6,22.6,Premium,3499,Weight Loss,Yoga,Trainer C,3,22,5.6,1,1,2022-05-27
GYM1117,Divya,Female,30,Coimbatore,156.2,72.4,66.8,29.7,27.4,Standard,1999,Weight Loss,Swimming,No Trainer,4,14,5.6,7,0,2022-06-11
GYM1118,Meena,Female,26,Coimbatore,153.4,61.7,60.8,26.2,25.8,Premium,3499,General Fitness,Cardio,Trainer B,5,11,0.9,1,0,2022-10-06
GYM1119,Rekha,Female,18,Kolkata,168.9,84.7,79.5,29.7,27.9,Elite,5999,Endurance,CrossFit,Trainer C,5,14,5.2,2,0,2022-04-24
GYM1120,Rekha,Female,37,Delhi,160.5,101.9,89.8,39.6,34.9,Elite,5999,General Fitness,Cardio,Trainer B,5,26,12.1,1,1,2022-11-05
GYM1121,Praveen,Male,30,Delhi,160.4,58.7,58.1,22.8,22.6,Standard,1999,Flexibility,Yoga,Trainer A,4,1,0.6,7,0,2023-01-25
GYM1122,Sanjay,Male,24,Pune,156.6,70.2,69.6,28.6,28.4,Premium,3499,Weight Loss,Swimming,Trainer A,1,28,0.6,8,0,2024-06-01
GYM1123,Lakshmi,Female,48,Pune,165.1,64.9,61.2,23.8,22.5,Elite,5999,General Fitness,Swimming,Trainer D,1,19,3.7,7,1,2022-11-29
GYM1124,Praveen,Male,32,Coimbatore,161.1,96.3,90.4,37.1,34.8,Elite,5999,Flexibility,CrossFit,Trainer A,4,16,5.9,10,0,2022-03-22
GYM1125,Keerthana,Female,21,Mumbai,156.5,54.5,54.5,22.3,22.3,Premium,3499,Flexibility,Yoga,Trainer B,5,5,0.0,2,0,2022-07-18
GYM1126,Anita,Female,41,Coimbatore,173.3,48.2,45.3,16.0,15.1,Standard,1999,Muscle Gain,Strength,Trainer C,2,13,2.9,10,0,2024-02-17
GYM1127,Ramesh,Male,25,Kolkata,164.1,70.9,62.1,26.3,23.1,Elite,5999,Endurance,Swimming,No Trainer,6,21,8.8,6,0,2022-03-11
GYM1128,Deepa,Female,32,Chennai,151.4,68.2,67.1,29.8,29.3,Premium,3499,Flexibility,Yoga,No Trainer,3,5,1.1,8,0,2022-02-28
GYM1129,Keerthana,Female,29,Coimbatore,150.7,58.1,46.4,25.6,20.4,Premium,3499,Weight Loss,Zumba,No Trainer,4,33,11.7,8,0,2024-03-21
GYM1130,Mohan,Male,37,Kolkata,160.2,79.2,76.8,30.9,29.9,Standard,1999,Flexibility,Zumba,Trainer B,4,4,2.4,2,0,2024-05-07
GYM1131,Saranya,Female,18,Bangalore,162.3,57.0,46.9,21.6,17.8,Basic,999,General Fitness,Cardio,Trainer B,4,29,10.1,9,0,2022-06-12
GYM1132,Anita,Female,24,Pune,143.6,45.5,43.5,22.1,21.1,Premium,3499,Endurance,Yoga,No Trainer,6,4,2.0,6,0,2022-04-07
GYM1133,Meena,Female,34,Bangalore,150.8,72.7,72.7,32.0,32.0,Premium,3499,General Fitness,Yoga,Trainer A,3,10,0.0,5,0,2023-12-17
GYM1134,Sneha,Female,31,Pune,148.3,57.2,52.8,26.0,24.0,Basic,999,Flexibility,Swimming,Trainer C,6,9,4.4,9,0,2023-11-18
GYM1135,Nisha,Female,23,Hyderabad,154.9,77.1,74.6,32.1,31.1,Premium,3499,Weight Loss,Yoga,Trainer B,3,14,2.5,8,0,2022-05-21
GYM1136,Karthik,Male,40,Chennai,159.0,84.4,78.6,33.4,31.1,Premium,3499,Weight Loss,Swimming,Trainer C,5,9,5.8,7,0,2022-07-05
GYM1137,Dinesh,Male,18,Pune,161.6,84.9,73.6,32.5,28.2,Elite,5999,Weight Loss,Yoga,Trainer B,5,29,11.3,5,0,2024-03-13
GYM1138,Kavya,Female,35,Kolkata,153.2,66.0,57.0,28.1,24.3,Standard,1999,Flexibility,Strength,Trainer C,4,29,9.0,5,0,2023-05-30
GYM1139,Sneha,Female,43,Bangalore,160.0,69.1,62.3,27.0,24.3,Standard,1999,General Fitness,Yoga,Trainer A,3,31,6.8,9,0,2023-12-30
GYM1140,Suresh,Male,27,Delhi,164.5,82.7,80.1,30.6,29.6,Basic,999,Muscle Gain,CrossFit,No Trainer,4,10,2.6,2,0,2022-08-16
GYM1141,Viji,Female,34,Pune,174.6,75.5,68.1,24.8,22.3,Premium,3499,Weight Loss,Cardio,Trainer D,3,33,7.4,4,0,2022-03-25
GYM1142,Kavya,Female,44,Coimbatore,154.7,40.5,40.4,16.9,16.9,Basic,999,Flexibility,Swimming,Trainer C,2,10,0.1,1,0,2024-04-29
GYM1143,Saranya,Female,18,Kolkata,155.2,65.2,62.2,27.1,25.8,Standard,1999,Endurance,Zumba,Trainer A,1,6,3.0,5,0,2022-06-03
GYM1144,Divya,Female,35,Delhi,156.2,75.0,73.2,30.7,30.0,Premium,3499,Muscle Gain,Cardio,Trainer A,4,16,1.8,10,0,2022-04-24
GYM1145,Lakshmi,Female,34,Mumbai,164.2,47.3,39.5,17.5,14.7,Basic,999,General Fitness,Swimming,Trainer B,4,19,7.8,1,0,2022-09-04
GYM1146,Sneha,Female,35,Hyderabad,154.7,72.6,55.2,30.3,23.1,Basic,999,General Fitness,Cardio,No Trainer,5,35,17.4,9,0,2023-02-04
GYM1147,Priya,Female,33,Delhi,160.0,59.5,58.9,23.2,23.0,Elite,5999,Flexibility,Swimming,Trainer A,1,23,0.6,6,0,2023-11-04
GYM1148,Praveen,Male,40,Chennai,161.2,78.9,69.1,30.4,26.6,Premium,3499,Muscle Gain,Yoga,No Trainer,6,22,9.8,3,0,2023-12-03
GYM1149,Saranya,Female,36,Bangalore,160.7,77.5,77.5,30.0,30.0,Elite,5999,Muscle Gain,Cardio,Trainer D,3,3,0.0,4,1,2022-07-24
GYM1150,Arjun,Male,29,Pune,160.2,72.7,70.8,28.3,27.6,Premium,3499,General Fitness,Zumba,Trainer D,1,17,1.9,4,0,2024-06-01
GYM1151,Harish,Male,39,Coimbatore,160.6,88.4,73.9,34.3,28.7,Premium,3499,Flexibility,Yoga,Trainer D,6,26,14.5,8,0,2023-01-31
GYM1152,Sneha,Female,36,Hyderabad,173.0,55.7,54.7,18.6,18.3,Elite,5999,Endurance,Zumba,Trainer C,6,6,1.0,7,0,2023-09-09
GYM1153,Sanjay,Male,18,Coimbatore,180.0,85.9,81.4,26.5,25.1,Premium,3499,Flexibility,Cardio,Trainer C,3,19,4.5,8,0,2023-03-13
GYM1154,Dinesh,Male,34,Kolkata,159.0,107.3,100.4,42.4,39.7,Elite,5999,Flexibility,Cardio,Trainer C,3,28,6.9,1,1,2023-10-15
GYM1155,Anita,Female,33,Bangalore,163.8,70.8,70.0,26.4,26.1,Standard,1999,Weight Loss,Zumba,Trainer D,2,3,0.8,2,0,2023-10-23
GYM1156,Anita,Female,24,Chennai,161.8,87.6,78.6,33.5,30.0,Elite,5999,General Fitness,Zumba,Trainer B,3,29,9.0,6,0,2022-03-20
GYM1157,Sanjay,Male,47,Hyderabad,163.9,66.1,65.0,24.6,24.2,Premium,3499,Endurance,Swimming,Trainer C,1,16,1.1,1,0,2023-05-27
GYM1158,Viji,Female,32,Delhi,166.8,44.7,36.8,16.1,13.2,Basic,999,Flexibility,Swimming,Trainer D,5,14,7.9,5,0,2023-05-18
GYM1159,Karthik,Male,30,Kolkata,164.6,65.9,65.5,24.3,24.2,Standard,1999,Weight Loss,Strength,Trainer D,6,6,0.4,6,0,2023-12-28
GYM1160,Sanjay,Male,40,Bangalore,168.6,62.5,54.8,22.0,19.3,Premium,3499,Flexibility,Swimming,Trainer B,5,24,7.7,4,0,2022-07-25
GYM1161,Vijay,Male,28,Hyderabad,181.4,74.9,69.5,22.8,21.1,Elite,5999,Weight Loss,Zumba,No Trainer,4,24,5.4,9,0,2022-03-30
